property_id,listing_id,status,city,state_code,postal_code,beds,baths,sqft,list_price
5144824046,2951081312,for_rent,Columbus,GA,31907,,,,
6028143482,2951088952,for_rent,Columbus,GA,31909,,,,
5137636672,2951078564,for_rent,Stone Mountain,GA,30083,,,,
9658337547,2951087798,for_rent,Augusta,GA,30909,,,,
5520950519,2951094923,for_rent,Augusta,GA,30906,,,,
5539130246,2951087423,for_rent,Decatur,GA,30032,,,,
6599502038,2951087919,for_rent,Athens,GA,30606,,,,
5566259852,2951084552,for_rent,Columbus,GA,31907,,,,
5378318410,2951079147,for_rent,Fair Oaks,GA,30008,,,,
5431198171,2951079900,for_rent,Riverdale,GA,30274,,,,
5318922674,2951091060,for_rent,College Park,GA,30349,,,,
9300187670,2951092641,for_rent,Augusta,GA,30909,,,,
5310093367,2950856878,for_rent,Athens,GA,30601,1,1,400,850
5533102701,2950843259,for_rent,Columbus,GA,31903,2,1,965,765
5120892739,2950820514,for_rent,Columbus,GA,31907,3,1,975,875
6460204818,2950712199,for_rent,Columbus,GA,31907,2,1,952,895
6725148581,2950656381,for_rent,Columbus,GA,31903,3,1,1107,895
5026770341,2950652944,for_rent,Columbus,GA,31904,2,1,1016,845
5101765896,2950536256,for_rent,Columbus,GA,31906,3,1,1240,900
5078074171,2950193928,for_rent,Columbus,GA,31907,3,1,1044,875
5160629606,2950168523,for_rent,Columbus,GA,31906,3,1,1002,825
5731018791,2950160085,for_rent,Columbus,GA,31907,3,1,1075,885
5290502517,2950108946,for_rent,Warner Robins,GA,31088,2,1,800,850
6807672466,2950101198,for_rent,Columbus,GA,31903,3,1,1015,875
6716333641,2950062834,for_rent,Columbus,GA,31907,3,1,1014,895
5659173385,2950062820,for_rent,Columbus,GA,31906,2,1,1052,850
6544947572,2950036081,for_rent,Columbus,GA,31907,3,1,816,850
6717365715,2949923538,for_rent,Columbus,GA,31906,3,1,1212,875
5336972046,2949923525,for_rent,Columbus,GA,31906,3,1,1006,845
6810318348,2949574889,for_rent,Columbus,GA,31903,3,1,1120,885
5625075048,2949563769,for_rent,Columbus,GA,31906,3,1,1012,895
5166182231,2949563751,for_rent,Columbus,GA,31906,2,1,1097,845
9147834049,2949436312,for_rent,Statesboro,GA,30458,,,,
5454695158,2949417941,for_rent,Columbus,GA,31903,2,1,942,750
5669153689,2949417936,for_rent,Columbus,GA,31906,3,1,1053,850
9450815928,2949361709,for_rent,Commerce,GA,30530,2,1,867,900
9957357918,2949293672,for_rent,Macon,GA,31217,3,1,840,825
9236139355,2949286413,for_rent,Sparks,GA,31647,,,,
5333841707,2949094064,for_rent,Columbus,GA,31906,2,1,1008,795
6153762940,2948911325,for_rent,Macon,GA,31211,3,2,840,895
6712159856,2948908370,for_rent,Columbus,GA,31907,3,1,1014,895
